brand,product_name,clothing_type,fabric_composition,fiber_json,most_dominant_fiber,fs_bio_share,fs_biodeg_tier,source,country_of_brand,scraped_url,scraped_at,origin
Adored Vintage,Midnight Garden Dress,dress,"aytime outings to evening occasions with understated grace. 55% Viscose, 45% Rayon / Lining: 100% Rayon Imported Fit Notes & Measur","{""viscose"": 55.0, ""rayon"": 45.0}",viscose,100.0,high,international,GLOBAL,https://adoredvintage.com/products/classic-feminine-navy-blue-scattered-floral-midi-dress,2026-04-24T03:13:15.856386,live
Adored Vintage,Marguerite Lace Top,top,"wing skirt or classic denim for an effortlessly sweet look. 65% Polyester, 35% Cotton Imported Fit Notes & Measurements Size 0/2 dres","{""polyester"": 65.0, ""cotton"": 35.0}",polyester,35.0,low,international,GLOBAL,https://adoredvintage.com/products/romantic-cream-floral-lace-up-sleeveless-blouse,2026-04-24T03:13:22.789217,live
Adored Vintage,Petite Fleur Camisole,top,"that feels feminine, nostalgic, and effortlessly charming. 100% Cotton Imported Fit Notes & Measurements Size 0/2 dress form (32B/","{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://adoredvintage.com/products/vintage-inspired-cream-floral-cotton-corset-style-sleeveless-top,2026-04-24T03:13:26.953298,live
Adored Vintage,Seeking Finches Shirt,shirt,"e enough for layering or wearing solo, season after season. 100% Cotton Imported Fit Notes & Measurements Size 4 dress form (34C/26","{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://adoredvintage.com/products/seeking-finches-shirt,2026-04-24T03:13:28.102321,live
Adored Vintage,Matter of Fact Top - Black,top,"vates your everyday look while keeping it easy and timeless 60% Cotton, 40% Linen Hand Wash Cold / Line Dry Imported Fit Notes & M","{""cotton"": 60.0, ""linen"": 40.0}",cotton,100.0,high,international,GLOBAL,https://adoredvintage.com/products/timeless-and-minimal-black-solid-linen-tank-top,2026-04-24T03:13:29.409783,live
Adored Vintage,Maiden in the Moor Top,top,"with sweeping skirts, a brocade partlet, and lace up boots. 100% Polyester (has a slight sheen finish) Imported Fit Notes & Measuremen","{""polyester"": 100.0}",polyester,0.0,low,international,GLOBAL,https://adoredvintage.com/products/romantic-denim-blue-lace-up-embroidered-puff-long-sleeve-blouse,2026-04-24T03:13:31.718177,live
Adored Vintage,Nesaea Top - Prairie Noir,top,— a versatile piece designed for modern romantic dressing. 100% Cotton / Deadstock Ethically Made in India Measurements Size 4/6 D,"{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://adoredvintage.com/products/nesaea-top-prairie-noir,2026-04-24T03:13:34.009504,live
Adored Vintage,Lumière Camisole,top,tile piece that brings a hint of vintage charm to any look. 97% Polyester 3% Spandex Imported Fit Notes & Measurements Size 4 dress f,"{""polyester"": 97.0, ""elastane"": 3.0}",polyester,0.0,low,international,GLOBAL,https://adoredvintage.com/products/vintage-inspired-cream-satin-lace-trim-embroidered-cami-top,2026-04-24T03:13:38.320524,live
Adored Vintage,Nesaea Blouse,shirt,s with elasticated cuffs and lace accent on ruffle flounce. 100% Cotton Viscose Ethically Made in India Measurements Size 4/6 Dress,"{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://adoredvintage.com/products/atelette-romantic-edwardian-inspired-puff-sleeve-oversize-top,2026-04-24T03:13:45.450861,live
Adored Vintage,Cottage Bloom Sweater,knitwear,"t an effortless staple for cooler days. Era: 1970's Fabric: 100% Wool Measurements: 24.5"" length / 19"" across chest / 25"" (sleeve","{""wool"": 100.0}",wool,100.0,high,international,GLOBAL,https://adoredvintage.com/products/vintage-1970s-peach-cream-cable-knit-crewneck-sweater,2026-04-24T03:13:58.111968,live
Adored Vintage,Bit of Whimsy Pants,pants,r to your everyday wardrobe. Back waistband is elasticated. 100% Cotton Imported Fit Notes & Measurements Size 4 dress form (34C/26,"{""cotton"": 100.0}",cotton,100.0,high,international,GLOBAL,https://adoredvintage.com/products/feminine-light-wash-wide-leg-ruffle-chambray-pants,2026-04-24T03:14:41.329723,live
Tayo Studio,"STATEMENT SHIRTS - 100% COTTON, 10000% ANGRY",shirt,"STATEMENT SHIRTS - 100% COTTON, 10000% ANGRY
 – Shop.TayoStudio Skip to content Search HOM","{""cotton"": 100.0}",cotton,100.0,high,philippine,PH,https://shoptayostudio.com/products/statement-shirts-100-cotton-10000-anfy,2026-04-24T03:15:02.722936,live
Linya Linya,Dri-Fit T-Shirt: Maka-Pickle Hininga,t-shirt,"maka-pickle hininga sa pagod! Ang drifit shirt na to ay: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirtmakapicklehininga,2026-04-24T03:15:18.834211,live
Linya Linya,Ringer Tee: Tired Since 1989 (White),t-shirt,"ift. Inspired by Taylor Swift's ""1989"" album, this shirt is 60% cotton, 40% polyester, and 100% comfortable to wear kahit pagod ka","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://linyalinya.ph/products/ringer-tee-tired-since-1989-white,2026-04-24T03:15:34.253138,live
Linya Linya,Crop Top: Beshies,top,"ow for you and your beshies! This crop top shirt is full-on 60% cotton, 40% polyester, at 200% sexy at kumportableng suotin habang","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://linyalinya.ph/products/beshiescroptop,2026-04-24T03:15:52.598378,live
Linya Linya,Crop Top: Go Girl (White),top,"gumawa for you! Ang kalahating shirt na ito ay buong-buong 60% cotton, 40% polyester, at 0% plastic. Disclaimer: Shirt/product co","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://linyalinya.ph/products/croptopgogirl,2026-04-24T03:15:53.635564,live
Linya Linya,Crop Top: Bahagi Ka Ng Bahaghari,top,". Huwag ikahiya ang tunay na ikaw. ✨ This crop top shirt is 60% cotton, 40% polyester, at 200% presko at komportableng suotin, hab","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://linyalinya.ph/products/croptopbahagikangbahaghari,2026-04-24T03:15:54.997679,live
Linya Linya,Crop Top: Magpatuloy (Black),top,"at kailangan lang ng paalala, para sa’yo ito. This shirt is 60% cotton, 40% polyester, and 100% inclusive to each and everyone. --","{""cotton"": 60.0, ""polyester"": 40.0}",cotton,60.0,medium,philippine,PH,https://linyalinya.ph/products/croptopmagpatuloyblack,2026-04-24T03:15:55.855978,live
Linya Linya,Dri-Fit T-Shirt: Tatakbo,t-shirt,"ano'ng mangyari! Go go go! 🏃♂️🏃♀️ This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifitshirttatakbo,2026-04-24T03:16:38.847712,live
Linya Linya,Dri-Fit T-Shirt: Tatamarin,t-shirt,"mo, bagay ang shirt na 'to sa'yo! This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifitshirttatamarin,2026-04-24T03:16:39.695073,live
Linya Linya,Dri-Fit T-Shirt: Palainom Noon. Palatakbo Ngayon.,t-shirt,"lang, para hydrated sa kada takbo. This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirtpalainomnoonpalatakbongayon,2026-04-24T03:16:42.064983,live
Linya Linya,Dri-Fit T-Shirt: Pinili(t) Tumakbo,t-shirt,"nd, para sa inyo ang shirt na ito! This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirtpinilittumakbo,2026-04-24T03:16:43.360004,live
Linya Linya,Dri-Fit T-Shirt: Tambay sa Kitchen (Red),t-shirt,"tchen? Heto ang shirt para sa 'yo. This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirttambaysakitchenred,2026-04-24T03:16:44.498668,live
Linya Linya,"Dri-Fit T-Shirt: Work Hard, Pickle Harder.",t-shirt,"ngayon, WORK HARD, PICKLE HARDER. This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirtworkhardpickleharder,2026-04-24T03:16:45.178279,live
Linya Linya,Dri-Fit T-Shirt: Laging Tumatakbo Sa Isip Ko,t-shirt,"saktong dri-fit shirt para sa'yo. This dri-fit shirt is: ✅ 100% polyester knitted interlock ✅ 3.5 OZ / 120gsm ✅ Lightweight, absorbs","{""polyester"": 100.0}",polyester,0.0,low,philippine,PH,https://linyalinya.ph/products/drifittshirtlagingtumatakbosaisipko,2026-04-24T03:16:46.014029,live
